notes,has_complication,ssn,hospital
normal risk,False,057-79-3010,AR
normal risk,False,057-80-2743,AL
high risk,False,058-08-8442,AR
normal risk,True,058-29-4941,AK
normal risk,True,058-35-7948,AL
normal risk,False,058-50-4080,AK
high risk,True,058-78-0921,AK
normal risk,False,058-84-8927,AL
normal risk,False,058-87-7792,AK
normal risk,True,058-93-5565,AK
normal risk,True,058-98-6531,AL
high risk,True,059-07-5720,AR
high risk,True,059-29-2189,AK
normal risk,True,059-34-8399,AK
normal risk,False,059-48-0895,AK
normal risk,False,059-50-0449,AL
high risk,False,059-56-0568,AR
normal risk,False,059-62-2797,AK
normal risk,False,059-77-2224,AL
normal risk,False,059-77-6232,AL
normal risk,False,059-79-2101,AK
normal risk,True,059-79-5766,AK
high risk,True,060-10-5663,AL
normal risk,False,060-13-0793,AL
normal risk,False,060-17-8525,AK
normal risk,True,060-22-3218,AL
normal risk,True,060-28-9434,AK
normal risk,True,060-31-2927,AR
normal risk,True,060-33-2390,AR
high risk,True,060-42-7043,AK
normal risk,False,060-72-6094,AL
high risk,True,061-14-5860,AR
normal risk,False,061-19-9472,AR
normal risk,False,061-51-4142,AL
normal risk,True,061-55-4604,AK
normal risk,False,061-68-4295,AL
normal risk,False,061-72-4972,AR
normal risk,False,061-82-7744,AK
normal risk,False,061-94-5029,AL
normal risk,False,062-09-1958,AR
normal risk,True,062-11-2754,AK
normal risk,True,062-21-0254,AK
normal risk,False,062-21-9041,AR
normal risk,True,062-26-0807,AL
high risk,True,062-48-5292,AL
normal risk,False,062-56-6813,AR
high risk,False,062-80-0794,AL
normal risk,False,062-83-7960,AR
normal risk,False,062-93-4406,AL
normal risk,False,062-99-5336,AK
normal risk,True,063-02-2195,AR
normal risk,False,063-05-1004,AK
normal risk,False,063-25-1411,AK
normal risk,False,063-25-7549,AK
high risk,True,063-25-9703,AL
high risk,True,063-32-0990,AR
high risk,True,063-33-1291,AK
high risk,True,063-33-5579,AR
normal risk,False,063-49-1784,AK
normal risk,False,063-77-7542,AR
normal risk,False,063-81-1141,AL
normal risk,False,064-02-9649,AL
normal risk,False,064-06-2460,AK
normal risk,False,064-15-5042,AR
high risk,True,064-40-2897,AK
normal risk,False,064-65-7320,AL
normal risk,True,064-68-5971,AL
high risk,True,064-74-0734,AL
normal risk,False,064-95-9307,AK
normal risk,False,065-26-3782,AR
high risk,True,065-34-2874,AR
high risk,True,065-69-5984,AK
normal risk,False,065-75-6236,AR
normal risk,False,065-77-3772,AR
normal risk,False,065-84-5812,AL
normal risk,True,065-92-8950,AL
high risk,False,066-34-6585,AK
normal risk,False,066-36-2323,AL
normal risk,False,066-43-6971,AR
normal risk,False,066-45-4578,AK
normal risk,False,066-46-6704,AR
normal risk,True,066-50-1980,AK
normal risk,False,066-56-6190,AR
normal risk,False,066-79-4538,AK
normal risk,False,066-84-8754,AR
normal risk,False,066-86-3027,AR
high risk,True,066-91-1820,AR
high risk,True,067-06-8888,AL
normal risk,False,067-22-1231,AL
high risk,False,067-38-5174,AK
normal risk,True,067-60-0526,AR
normal risk,True,067-76-2117,AL
normal risk,True,067-81-6615,AK
high risk,False,068-02-4619,AL
high risk,False,068-02-6649,AK
normal risk,False,068-05-9848,AK
normal risk,False,068-06-9145,AR
normal risk,False,068-13-0966,AK
high risk,False,068-14-8629,AK
normal risk,True,068-19-7903,AR
high risk,False,068-38-5282,AK
normal risk,False,068-39-8621,AK
normal risk,True,068-51-4710,AL
normal risk,True,068-56-7870,AR
normal risk,True,068-59-4687,AR
normal risk,False,068-75-2549,AR
normal risk,False,068-75-4331,AR
normal risk,True,068-80-0393,AK
normal risk,False,068-87-5737,AK
high risk,True,068-93-4691,AL
normal risk,False,069-03-9966,AL
normal risk,False,069-08-4757,AR
normal risk,False,069-10-9544,AK
normal risk,False,069-17-8832,AL
normal risk,True,069-29-8398,AL
normal risk,True,069-49-1300,AK
normal risk,False,069-59-3569,AL
normal risk,False,069-72-7819,AR
high risk,True,070-01-8590,AR
normal risk,False,070-21-3428,AR
normal risk,False,070-25-4839,AL
normal risk,False,070-36-0764,AL
normal risk,False,070-37-1626,AL
normal risk,False,070-50-7217,AK
normal risk,False,070-56-4534,AL
normal risk,False,070-57-5180,AK
high risk,True,070-72-6129,AL
normal risk,False,070-95-4483,AR
normal risk,False,071-06-3858,AR
normal risk,False,071-26-0254,AK
normal risk,False,072-18-7863,AR
normal risk,False,072-33-9473,AK
high risk,True,072-53-5746,AL
normal risk,True,072-80-0690,AL
high risk,True,072-83-9961,AK
normal risk,False,072-87-3858,AK
normal risk,True,072-95-1294,AK
normal risk,False,073-47-6953,AK
high risk,True,073-54-4407,AK
normal risk,False,074-39-5871,AK
normal risk,False,074-46-6086,AR
normal risk,False,074-57-7870,AL
normal risk,False,074-68-4688,AR
normal risk,False,074-78-6518,AR
normal risk,False,075-04-5544,AK
normal risk,True,075-08-8292,AR
high risk,True,075-14-7169,AK
normal risk,False,075-21-3843,AL
normal risk,False,075-23-9790,AR
normal risk,False,075-31-1614,AR
normal risk,False,075-53-0579,AL
normal risk,False,075-64-2727,AK
high risk,True,075-73-0653,AK
normal risk,False,075-99-0036,AK
high risk,False,076-05-0610,AR
normal risk,False,076-36-9980,AR
high risk,True,076-38-6101,AL
normal risk,False,076-40-5190,AL
normal risk,False,076-44-4734,AR
normal risk,False,076-46-6056,AR
normal risk,False,076-61-4648,AK
normal risk,False,076-67-5016,AR
normal risk,True,077-21-9172,AR
normal risk,False,077-42-9990,AK
normal risk,True,077-51-3916,AK
normal risk,False,077-53-4163,AR
normal risk,True,077-56-9237,AK
normal risk,True,077-59-7462,AR
normal risk,False,077-64-2807,AK
normal risk,False,077-98-5642,AR
normal risk,True,078-03-8788,AR
normal risk,True,078-06-7580,AL
normal risk,True,078-20-8083,AR
normal risk,True,078-41-6063,AL
normal risk,False,078-48-6115,AR
normal risk,False,078-54-1201,AK
normal risk,False,078-62-2585,AK
normal risk,True,078-74-8560,AK
normal risk,False,078-75-6935,AL
normal risk,False,078-81-8213,AR
normal risk,False,078-92-2711,AL
high risk,False,078-93-0035,AL
normal risk,False,078-94-4967,AK
normal risk,False,079-11-5684,AL
normal risk,False,079-31-7013,AR
normal risk,False,079-32-0558,AR
normal risk,False,079-53-1946,AL
normal risk,False,079-57-6132,AR
normal risk,False,079-76-8754,AL
normal risk,False,079-77-9409,AL
normal risk,False,080-10-0162,AK
normal risk,False,080-33-3650,AL
normal risk,True,080-36-9039,AK
normal risk,True,080-63-8455,AR
high risk,False,080-64-2854,AR
normal risk,False,080-84-3830,AK
normal risk,False,081-17-1780,AK
normal risk,True,081-19-0595,AL
normal risk,False,081-30-2351,AK
normal risk,False,081-33-0740,AL
normal risk,False,081-33-6286,AL
normal risk,True,081-40-9377,AL
normal risk,True,081-48-7427,AR
normal risk,False,081-54-5759,AL
high risk,False,081-56-2826,AL
normal risk,False,081-67-1568,AK
normal risk,False,081-76-2392,AR
normal risk,True,081-81-8782,AK
normal risk,False,081-83-0031,AK
normal risk,False,081-96-6198,AL
normal risk,False,082-09-2392,AK
normal risk,False,082-29-0682,AK
normal risk,False,082-29-6997,AR
normal risk,False,082-40-9205,AL
normal risk,False,082-43-2114,AK
normal risk,True,082-53-2684,AL
normal risk,True,082-68-3514,AL
normal risk,False,082-80-8269,AL
normal risk,True,082-98-4710,AL
normal risk,False,083-15-4360,AR
normal risk,False,083-19-5906,AK
normal risk,True,083-22-0421,AR
normal risk,False,083-26-6446,AL
normal risk,False,083-34-1081,AR
normal risk,False,083-36-4860,AR
normal risk,False,083-47-3856,AR
normal risk,True,083-83-1883,AR
normal risk,False,083-89-4054,AL
normal risk,False,084-16-7147,AK
normal risk,True,084-23-0529,AK
normal risk,False,084-23-9846,AK
normal risk,False,084-27-3517,AL
normal risk,False,084-30-4696,AL
normal risk,True,084-34-8317,AK
normal risk,False,084-47-0099,AL
normal risk,False,084-48-2732,AR
normal risk,True,084-60-5198,AK
normal risk,False,085-19-3977,AR
normal risk,False,085-19-5891,AR
normal risk,False,085-45-9878,AR
normal risk,True,085-54-9638,AK
high risk,True,085-73-2142,AL
normal risk,True,085-81-6893,AR
normal risk,False,085-81-9761,AR
normal risk,False,085-82-0159,AR
normal risk,False,085-82-3729,AK
high risk,True,085-87-1968,AR
normal risk,False,085-93-0656,AR
normal risk,True,086-04-5080,AR
normal risk,False,086-12-0691,AL
normal risk,False,086-13-4103,AK
normal risk,False,086-40-8258,AR
normal risk,False,086-45-9769,AR
normal risk,False,086-46-1530,AK
normal risk,False,086-59-7111,AL
normal risk,False,086-62-3413,AK
normal risk,False,086-69-6829,AR
normal risk,False,086-76-7830,AL
normal risk,True,086-92-0075,AK
normal risk,False,086-92-8273,AK
normal risk,False,087-05-9597,AK
normal risk,True,087-15-1501,AL
normal risk,False,087-19-7951,AL
normal risk,False,087-52-4279,AK
normal risk,False,087-59-7790,AR
normal risk,False,087-67-0827,AK
normal risk,False,087-77-8109,AR
normal risk,False,087-83-2645,AL
normal risk,True,087-95-2101,AL
normal risk,False,087-96-0891,AR
high risk,False,088-11-6837,AL
normal risk,False,088-22-8399,AK
normal risk,False,088-57-6244,AK
normal risk,False,088-64-6476,AR
normal risk,False,088-74-8678,AL
normal risk,False,088-78-3142,AR
normal risk,False,088-88-0512,AR
normal risk,False,088-99-5107,AR
normal risk,False,089-19-7938,AK
high risk,True,089-21-8490,AL
normal risk,False,089-32-7500,AR
normal risk,False,089-35-5872,AR
normal risk,False,089-58-5514,AK
normal risk,False,089-76-8551,AK
normal risk,True,089-76-9308,AL
normal risk,True,089-92-9138,AR
normal risk,False,089-93-6199,AR
normal risk,False,090-04-1442,AL
normal risk,True,090-06-5392,AL
normal risk,True,090-17-9763,AR
normal risk,False,090-21-0380,AR
normal risk,False,090-40-1953,AK
normal risk,True,090-40-8164,AK
normal risk,False,090-65-2699,AL
normal risk,False,090-72-9546,AR
normal risk,False,090-81-2294,AL
normal risk,False,091-03-6369,AK
high risk,True,091-07-4708,AK
normal risk,True,091-23-6640,AR
normal risk,False,091-28-0930,AK
normal risk,True,091-34-4599,AR
high risk,True,091-36-5748,AK
normal risk,False,091-62-2690,AL
normal risk,False,091-72-4302,AR
high risk,True,091-97-5147,AL
normal risk,True,092-21-5789,AR
normal risk,False,092-31-2946,AL
normal risk,False,092-59-3680,AR
normal risk,True,092-61-4738,AL
high risk,False,092-64-0526,AK
normal risk,True,092-75-6674,AK
high risk,True,092-80-0568,AL
normal risk,False,092-85-1992,AL
normal risk,False,093-27-5226,AL
normal risk,False,093-36-9312,AL
normal risk,False,093-41-2320,AK
normal risk,False,093-80-2603,AL
high risk,True,094-08-2521,AL
normal risk,False,094-35-8546,AL
normal risk,False,094-40-0906,AL
normal risk,False,094-48-8970,AL
normal risk,False,094-53-7495,AK
normal risk,True,094-54-0336,AK
high risk,True,094-66-6377,AL
normal risk,True,094-66-6788,AL
high risk,False,094-79-4782,AK
normal risk,False,094-79-7448,AR
normal risk,False,094-98-2679,AL
normal risk,False,094-98-8617,AR
high risk,True,094-99-3129,AK
normal risk,False,095-25-8757,AL
normal risk,False,095-35-8122,AK
normal risk,True,095-42-9732,AK
normal risk,False,095-56-4647,AR
normal risk,False,095-81-6399,AK
normal risk,False,095-83-5387,AK
normal risk,False,096-10-5237,AL
normal risk,False,096-17-8395,AL
normal risk,False,096-18-1782,AL
normal risk,False,096-18-3486,AL
normal risk,False,096-34-8764,AR
high risk,True,096-47-2310,AR
normal risk,False,096-51-3410,AR
high risk,True,096-56-2999,AK
high risk,True,096-58-5812,AK
normal risk,False,096-58-9426,AR
normal risk,False,096-64-3932,AL
normal risk,True,096-82-1709,AR
high risk,True,097-50-5220,AK
normal risk,False,097-59-8306,AL
normal risk,True,097-60-8672,AL
high risk,True,097-61-6556,AR
normal risk,False,097-83-8441,AK
normal risk,False,097-88-6253,AR
normal risk,False,097-96-7403,AL
normal risk,False,097-97-5448,AL
normal risk,False,098-24-1529,AL
normal risk,False,098-29-0235,AL
normal risk,False,098-51-0015,AR
normal risk,False,098-59-8026,AK
normal risk,True,098-59-9845,AL
normal risk,False,098-63-4214,AL
normal risk,False,098-70-4491,AR
normal risk,False,098-71-0096,AL
normal risk,True,098-99-6483,AR
normal risk,True,099-36-0682,AL
normal risk,True,099-54-6791,AL
normal risk,False,099-86-9339,AR
normal risk,False,100-02-5638,AR
normal risk,False,100-03-5637,AL
high risk,True,100-05-7572,AL
normal risk,True,100-15-7838,AL
high risk,False,100-32-5754,AK
normal risk,False,100-36-8884,AK
high risk,True,100-49-1408,AR
normal risk,True,100-55-7954,AL
normal risk,True,100-57-7789,AR
normal risk,False,100-73-8649,AK
normal risk,False,100-89-8041,AL
normal risk,False,100-93-2429,AK
normal risk,False,100-97-8821,AK
high risk,False,101-08-4772,AK
normal risk,False,101-22-2481,AL
normal risk,True,101-25-2314,AK
high risk,True,101-36-2381,AK
normal risk,False,101-46-5207,AR
normal risk,True,101-46-8971,AL
normal risk,False,101-55-0682,AL
normal risk,False,101-66-7253,AK
normal risk,False,101-74-6990,AL
high risk,False,101-89-0043,AL
normal risk,False,102-37-9306,AR
normal risk,False,102-44-9120,AK
normal risk,False,102-90-9170,AR
normal risk,False,103-10-3172,AR
normal risk,False,103-17-0661,AK
normal risk,False,103-45-8850,AK
normal risk,True,103-46-1045,AR
high risk,True,103-49-3096,AK
normal risk,False,103-50-1960,AL
normal risk,False,103-55-0210,AK
normal risk,False,103-94-4062,AR
normal risk,False,104-27-6940,AL
normal risk,True,104-32-9962,AK
normal risk,False,104-52-4165,AL
normal risk,True,104-52-7647,AL
normal risk,False,104-94-0313,AR
normal risk,False,105-05-7148,AR
normal risk,False,105-27-8794,AR
