smokes,weight,gave_consent,ssn,notes,has_complication,hospital
no,75.57123300098948,true,629-81-1798,normal risk,false,AL
no,59.96573025111044,true,228-50-5842,normal risk,true,AL
yes,62.29783087051049,true,157-12-9434,high risk,false,AL
no,78.42166547147636,true,192-14-1506,normal risk,false,AL
no,58.16373396729353,true,292-86-9357,normal risk,false,AL
yes,58.54668051812405,true,058-35-7948,normal risk,true,AL
no,82.38176318792978,true,466-36-1233,normal risk,false,AL
no,72.39332071991657,true,206-46-1392,normal risk,false,AL
no,61.88124657186928,true,705-11-0896,normal risk,false,AL
no,84.64752158955514,true,897-67-5929,normal risk,false,AL
yes,60.78782101225119,true,637-62-3429,normal risk,true,AL
yes,73.65132719694417,true,124-65-1515,high risk,true,AL
no,65.19672987475099,true,491-20-0852,normal risk,false,AL
no,62.10899082209958,true,567-27-4512,normal risk,false,AL
no,56.88328227965391,true,288-11-7314,normal risk,false,AL
no,64.45169937340907,true,319-77-0404,normal risk,false,AL
no,59.039130869904525,true,683-78-3375,normal risk,false,AL
yes,58.09025543365232,true,624-75-7195,high risk,true,AL
no,55.82623504807094,true,341-01-5732,normal risk,false,AL
no,62.480517059173785,true,553-84-6918,normal risk,true,AL
no,58.077389335586,true,377-97-3610,normal risk,false,AL
yes,58.49618926918244,true,779-30-6208,normal risk,false,AL
no,60.38535027347076,true,036-48-7995,normal risk,true,AL
no,57.738767411679675,true,323-47-5586,normal risk,false,AL
no,80.08068102452994,true,206-58-9589,normal risk,false,AL
no,77.44040383849709,true,729-72-9588,normal risk,false,AL
no,82.28608660553427,true,519-96-0116,normal risk,true,AL
no,61.003373995249746,true,468-22-4001,normal risk,false,AL
no,56.72935943344499,true,858-93-7932,normal risk,false,AL
no,79.68245686318076,true,573-31-3370,normal risk,false,AL
no,51.3472757045441,true,464-64-8997,normal risk,true,AL
yes,50.950839569637196,true,081-96-6198,normal risk,false,AL
yes,59.3947739969256,true,078-93-0035,high risk,false,AL
yes,65.1219503780179,true,287-66-8845,high risk,true,AL
yes,62.48755799583743,true,548-07-2784,normal risk,false,AL
no,81.46630668223912,true,225-01-6733,normal risk,false,AL
no,61.13960366040437,true,532-23-5766,normal risk,false,AL
no,78.74468059458701,true,064-65-7320,normal risk,false,AL
no,61.182576052421126,true,082-53-2684,normal risk,true,AL
no,82.21593573790224,true,362-54-5239,normal risk,false,AL
yes,63.19734494515747,true,817-50-8218,normal risk,true,AL
yes,83.3600161860567,true,184-58-7413,high risk,true,AL
no,60.10078150994802,true,862-56-5205,normal risk,false,AL
no,64.04560171349199,true,430-60-4877,normal risk,true,AL
no,62.123816878595456,true,520-05-8166,normal risk,false,AL
yes,77.58429541955987,true,636-27-7379,high risk,true,AL
no,74.15520025672416,true,064-68-5971,normal risk,true,AL
yes,58.56931221215291,true,802-25-8187,normal risk,false,AL
no,77.38786705117178,true,323-37-2619,normal risk,false,AL
no,58.61938856486485,true,737-95-0039,normal risk,false,AL
yes,56.13142066370553,true,596-59-0444,high risk,true,AL
yes,59.062261297814324,true,068-93-4691,high risk,true,AL
no,66.25705067519196,true,036-70-2636,normal risk,false,AL
no,84.57419327980226,true,733-30-8605,normal risk,false,AL
no,78.73667791145853,true,783-22-9159,normal risk,false,AL
no,84.00602775621518,true,495-70-4319,normal risk,true,AL
no,59.20929787268743,true,370-15-7249,normal risk,false,AL
no,76.41267649262782,true,762-48-0326,normal risk,false,AL
no,83.10631462349484,true,539-31-0658,normal risk,true,AL
yes,58.07567088917294,true,206-32-0795,high risk,true,AL
no,62.314562411002655,true,884-52-7327,normal risk,false,AL
no,86.22622392117313,true,697-56-1564,high risk,false,AL
no,59.45878498459518,true,842-94-7361,normal risk,false,AL
yes,62.68601766711276,true,395-28-8405,high risk,false,AL
yes,77.50192310977442,true,101-89-0043,high risk,false,AL
no,78.7590594298234,true,859-67-6491,normal risk,false,AL
no,85.21462232924966,true,440-98-1135,normal risk,true,AL
no,58.757428002999994,true,765-86-0680,normal risk,false,AL
yes,81.8219244778443,true,727-11-2747,normal risk,true,AL
yes,79.0217375689207,true,154-53-8041,high risk,true,AL
no,64.18976537322185,true,377-92-7186,normal risk,true,AL
no,58.312210700489274,true,752-92-6400,normal risk,false,AL
yes,83.48595763101144,true,750-23-6489,high risk,false,AL
no,63.04639525130611,true,748-18-7398,normal risk,false,AL
no,82.11072853788181,true,611-18-5819,normal risk,false,AL
no,72.73703742732421,true,724-54-7446,normal risk,false,AL
no,76.35938649495182,true,540-56-0158,normal risk,false,AL
yes,83.8735054250791,true,422-40-6047,high risk,true,AL
no,80.69299016480258,true,826-46-0176,normal risk,false,AL
no,61.87282485740532,true,687-22-8430,normal risk,false,AL
no,85.49558484140856,true,444-70-9309,normal risk,false,AL
no,79.65194526968412,true,359-70-3197,normal risk,false,AL
no,59.91830107591574,true,173-75-2600,normal risk,false,AL
yes,59.71413510728239,true,038-19-6679,normal risk,true,AL
no,73.4729078128948,true,548-01-9274,normal risk,false,AL
yes,75.1716899044391,true,548-30-6381,high risk,true,AL
no,57.79553373589637,true,004-46-6206,normal risk,false,AL
yes,70.00179871235234,true,274-06-6752,high risk,true,AL
yes,56.4631557994222,true,771-63-7005,high risk,true,AL
no,75.44012349183068,true,547-12-1201,normal risk,false,AL
no,83.77042890032794,true,765-13-5926,normal risk,true,AL
no,64.52666830623278,true,308-09-9011,normal risk,false,AL
yes,77.0074402037731,true,380-08-9074,high risk,false,AL
no,61.79454202862219,true,575-29-2078,normal risk,false,AL
yes,87.27258545908275,true,382-99-9144,high risk,true,AL
yes,74.76626009093317,true,585-33-0300,high risk,false,AL
no,52.868254716442976,true,706-17-2484,normal risk,false,AL
no,58.63601614139905,true,694-10-4341,normal risk,false,AL
no,77.75328958634073,true,129-30-2396,normal risk,false,AL
no,80.96274470165095,true,500-74-4999,normal risk,true,AL
no,77.199513846558,true,680-76-9980,normal risk,false,AL
no,78.71837352932994,true,425-37-5759,normal risk,true,AL
yes,78.02504658855214,true,185-85-4990,normal risk,true,AL
no,73.8224300290852,true,667-34-5617,normal risk,false,AL
no,86.97624440211479,true,803-89-9917,normal risk,true,AL
yes,73.95230883249819,true,069-29-8398,normal risk,true,AL
yes,58.265414202112666,true,472-21-3978,normal risk,true,AL
no,75.19904298346921,true,788-77-5788,normal risk,false,AL
yes,63.86580438000858,true,268-67-4469,normal risk,true,AL
no,59.508705079080215,true,608-55-0151,normal risk,false,AL
no,84.11839290045157,true,526-38-2791,normal risk,false,AL
no,77.22051673454926,true,494-80-1616,normal risk,false,AL
no,56.883861150990704,true,014-79-7216,normal risk,false,AL
no,75.21607266758484,true,054-60-0361,normal risk,false,AL
no,86.08899794338568,true,668-51-9557,normal risk,true,AL
no,78.45865456515655,true,372-17-4499,normal risk,false,AL
no,70.09498383376503,true,654-85-3074,normal risk,true,AL
no,92.38370807879836,true,624-29-9069,normal risk,true,AL
no,76.9242653010553,true,615-37-0653,normal risk,true,AL
yes,72.47206766825704,true,013-18-0607,normal risk,true,AL
no,61.73088781733444,true,303-88-7819,normal risk,false,AL
yes,64.66235758212292,true,711-63-3512,normal risk,true,AL
yes,75.26142286564466,true,847-25-1049,high risk,true,AL
no,59.682511716391986,true,123-97-4509,normal risk,false,AL
no,63.14449426308302,true,860-30-6024,normal risk,true,AL
no,59.574080779489705,true,384-25-6023,normal risk,false,AL
yes,89.4414306960273,true,123-49-1834,high risk,true,AL
yes,59.61292663985418,true,015-28-2492,high risk,true,AL
no,57.33954276744387,true,309-47-6864,normal risk,false,AL
no,62.470649514547624,true,597-75-0468,normal risk,true,AL
no,57.231443282776624,true,636-97-4515,normal risk,false,AL
no,64.67188617791089,true,065-92-8950,normal risk,true,AL
yes,62.1913943639029,true,860-28-3834,high risk,true,AL
yes,59.3788626111927,true,594-49-0726,high risk,true,AL
yes,61.84054707339179,true,411-23-3581,normal risk,true,AL
no,81.24259961929597,true,213-31-9637,normal risk,false,AL
no,79.03303677051836,true,197-97-5927,normal risk,false,AL
no,58.107742030827644,true,686-28-1075,normal risk,false,AL
no,63.457928551935765,true,792-08-2728,normal risk,false,AL
yes,82.45884396236023,true,161-87-7659,normal risk,false,AL
no,57.73519072756676,true,581-76-9129,normal risk,false,AL
no,57.27535577972181,true,634-72-5978,normal risk,false,AL
no,59.132526085016934,true,813-21-4941,normal risk,false,AL
yes,59.14300125824967,true,773-85-5574,high risk,true,AL
yes,74.8814454139108,true,045-51-6009,high risk,true,AL
no,74.54900485002685,true,783-48-5464,normal risk,false,AL
no,82.45721427440054,true,898-74-5589,normal risk,true,AL
no,76.56918859624739,true,739-70-4088,normal risk,false,AL
no,81.5176617147564,true,279-97-3335,normal risk,true,AL
yes,84.70146593385611,true,449-69-6377,high risk,false,AL
yes,85.99665362824976,true,785-23-2619,high risk,true,AL
no,62.921869533359114,true,638-68-3482,normal risk,false,AL
yes,58.304223679040994,true,696-03-1603,high risk,true,AL
no,59.40033690388423,true,748-16-5797,normal risk,false,AL
no,79.83197014577341,true,056-62-1342,normal risk,false,AL
yes,58.09077917574022,true,337-46-6683,high risk,true,AL
no,58.9804478638836,true,769-96-7456,normal risk,false,AL
no,78.47207979929277,true,508-37-1961,normal risk,false,AL
no,88.63688848138798,true,529-52-7359,high risk,false,AL
no,72.74422403536857,true,267-73-3255,normal risk,false,AL
no,80.11077627472311,true,393-78-6524,normal risk,false,AL
no,82.00646932212148,true,267-38-0829,normal risk,false,AL
no,80.78859798300883,true,689-07-1635,normal risk,false,AL
no,58.63051325756317,true,665-90-6146,normal risk,false,AL
no,80.44452763406564,true,260-12-9910,normal risk,false,AL
no,74.3705694958376,true,793-69-1188,normal risk,false,AL
no,66.90670845615253,true,858-89-1669,normal risk,false,AL
no,59.52359469870912,true,417-86-3053,normal risk,false,AL
yes,77.6131947046762,true,344-24-8008,high risk,true,AL
no,56.48253616168681,true,222-40-1616,normal risk,false,AL
no,75.56892088447773,true,300-03-9202,normal risk,false,AL
no,81.32941063624604,true,485-78-5074,normal risk,false,AL
yes,60.06992797526185,true,568-66-2743,high risk,true,AL
yes,77.38487580928343,true,455-38-0341,normal risk,true,AL
no,74.47407974790413,true,809-68-4157,normal risk,false,AL
no,87.36205221992577,true,667-68-9203,normal risk,false,AL
no,81.78411882810636,true,548-34-8552,normal risk,false,AL
no,54.74649501744478,true,141-85-9510,normal risk,false,AL
yes,85.5014745295491,true,488-25-0625,normal risk,true,AL
no,76.29415973365703,true,087-15-1501,normal risk,true,AL
no,57.44546330492036,true,509-32-5943,normal risk,false,AL
no,59.510430935670875,true,195-86-0668,normal risk,false,AL
no,81.9272557272071,true,067-22-1231,normal risk,false,AL
no,80.89543346731351,true,572-97-8345,normal risk,false,AL
no,72.0034487313224,true,070-25-4839,normal risk,false,AL
no,50.122961913568574,true,219-71-8453,normal risk,false,AL
no,55.711976574302724,true,898-27-7317,normal risk,false,AL
yes,88.31208358165485,true,106-29-0098,normal risk,true,AL
no,73.58317585022759,true,707-23-4931,normal risk,false,AL
no,79.03102462102244,true,189-08-0379,normal risk,false,AL
yes,58.79691996410206,true,252-34-3868,normal risk,false,AL
no,55.95556512083491,true,042-95-6038,normal risk,false,AL
no,57.3619326158872,true,031-42-9130,normal risk,true,AL
no,82.537876002666,true,607-19-9194,normal risk,true,AL
no,85.86772429496335,true,825-13-8753,high risk,false,AL
yes,59.25880658758859,true,851-36-7121,normal risk,true,AL
no,81.85900053703013,true,367-21-9544,normal risk,false,AL
no,73.99031886399162,true,093-36-9312,normal risk,false,AL
no,75.83092318526009,true,315-06-4190,normal risk,false,AL
no,59.08124649467787,true,011-07-4255,normal risk,false,AL
no,58.108477467908884,true,253-42-5789,normal risk,false,AL
no,82.84605230766233,true,781-94-8189,normal risk,true,AL
no,85.1325258203001,true,205-54-3794,high risk,true,AL
no,61.312178813146666,true,054-53-7328,normal risk,false,AL
no,60.72900922803298,true,183-63-3956,normal risk,true,AL
yes,62.39031100740921,true,821-17-2250,high risk,true,AL
yes,82.01169532967201,true,171-09-6850,high risk,true,AL
no,59.12762243949819,true,749-82-8382,normal risk,false,AL
no,78.17824291252398,true,747-95-7368,normal risk,false,AL
yes,65.6674337368493,true,051-55-5629,high risk,true,AL
no,84.70313046667262,true,006-80-0980,normal risk,false,AL
no,58.59081754376093,true,548-69-7233,normal risk,false,AL
no,66.06825658617848,true,651-19-5490,normal risk,false,AL
no,83.56755442065746,true,414-97-3442,normal risk,false,AL
no,56.31617533545328,true,033-61-5997,normal risk,true,AL
yes,88.44454414747393,true,339-53-3645,high risk,true,AL
yes,79.40037963290253,true,187-84-6965,normal risk,true,AL
no,55.59813847453819,true,690-47-6964,normal risk,false,AL
no,65.59604352794847,true,179-12-5825,normal risk,false,AL
yes,55.82904338178119,true,521-89-2634,normal risk,false,AL
no,74.88192819263364,true,364-06-7895,normal risk,false,AL
no,61.45424628622107,true,610-88-5946,normal risk,false,AL
yes,81.39946185403177,true,400-28-9699,normal risk,true,AL
yes,60.508597476697204,true,517-01-4985,normal risk,true,AL
no,73.55937517227619,true,028-01-8170,normal risk,false,AL
no,58.35596223744422,true,576-60-2411,normal risk,true,AL
no,60.375093876073535,true,398-38-7069,normal risk,false,AL
no,82.23177296269294,true,563-67-3325,normal risk,false,AL
no,85.99058685699235,true,035-92-0654,normal risk,true,AL
no,76.25859279254554,true,462-03-6971,normal risk,true,AL
yes,68.35201161891455,true,439-28-8569,high risk,true,AL
yes,77.20242519569634,true,749-18-1656,normal risk,true,AL
yes,81.77196123668976,true,311-53-6615,normal risk,true,AL
no,61.42256085696413,true,485-72-0671,normal risk,false,AL
yes,61.94410338101434,true,615-76-1887,high risk,false,AL
no,63.386081396651406,true,180-55-9659,normal risk,false,AL
no,61.23809666487176,true,145-55-0142,normal risk,false,AL
no,83.96214732657421,true,738-07-1072,normal risk,false,AL
no,81.74738469965668,true,428-79-4948,normal risk,false,AL
no,62.01480627427752,true,086-76-7830,normal risk,false,AL
yes,80.27009518602867,true,337-09-9320,high risk,true,AL
no,57.77547481572676,true,124-46-5126,normal risk,false,AL
no,85.8262282758615,true,378-67-4257,high risk,true,AL
yes,73.15146555424346,true,655-91-7134,high risk,true,AL
no,73.20085115596153,true,036-21-4572,normal risk,false,AL
yes,57.955782847300874,true,827-23-2383,normal risk,true,AL
yes,75.0442014928079,true,036-28-3664,high risk,true,AL
no,76.33379895988296,true,491-80-5756,normal risk,false,AL
no,61.4809006771182,true,274-64-7447,normal risk,true,AL
no,64.67838229279502,true,636-60-5847,normal risk,false,AL
no,63.47312411954165,true,732-52-8859,normal risk,false,AL
yes,61.153009457278756,true,203-23-2835,normal risk,false,AL
no,80.4209678892729,true,477-74-6396,normal risk,false,AL
yes,63.66613013136732,true,419-08-2838,normal risk,true,AL
no,55.25418166980273,true,646-04-6041,normal risk,true,AL
no,61.56412811730661,true,296-04-4307,normal risk,false,AL
yes,61.960747022512,true,379-94-1441,normal risk,true,AL
no,73.90652442085545,true,517-56-1165,normal risk,false,AL
no,85.93016146342441,true,625-40-8031,high risk,false,AL
no,74.23670445374523,true,763-29-0394,normal risk,false,AK
no,84.64247606449092,true,365-08-4223,normal risk,false,AK
no,75.82674343862145,true,551-95-3473,normal risk,true,AK
no,58.14688005600895,true,639-32-9589,normal risk,false,AK
no,83.75080303878954,true,442-78-5069,normal risk,false,AK
no,59.4463251211892,true,366-71-6328,normal risk,false,AK
no,59.95825779011018,true,566-50-9854,normal risk,true,AK
no,83.93982341568807,true,054-51-6326,normal risk,false,AK
no,84.6389966977657,true,657-34-0973,normal risk,false,AK
yes,85.49400387947871,true,369-69-5603,high risk,true,AK
no,81.95685724210965,true,447-45-7272,normal risk,false,AK
no,80.11778805196276,true,526-54-0602,normal risk,false,AK
no,61.07879632319511,true,775-22-3659,normal risk,false,AK
no,68.01248011930592,true,549-79-0349,normal risk,true,AK
yes,60.86574396702962,true,362-59-4497,high risk,true,AK
yes,82.07550279190791,true,423-35-9055,normal risk,true,AK
no,79.79306730192565,true,194-50-3731,normal risk,false,AK
no,59.14844542888144,true,132-15-5994,normal risk,false,AK
yes,63.73682981144354,true,015-80-3337,high risk,false,AK
no,63.47497464681314,true,219-11-4672,normal risk,false,AK
yes,58.50350516733623,true,634-74-7674,normal risk,false,AK
yes,74.85375827864189,true,238-71-8202,normal risk,true,AK
no,61.295610741388856,true,535-61-7582,normal risk,false,AK
yes,79.95982696413448,true,174-54-3280,high risk,true,AK
no,56.99173434894925,true,419-57-9904,normal risk,false,AK
no,58.35880137133377,true,590-24-7309,normal risk,false,AK
no,87.44583213147122,true,708-59-0081,high risk,false,AK
no,60.663889725103864,true,689-41-0103,normal risk,false,AK
no,73.47729394551507,true,207-83-1585,normal risk,false,AK
no,64.6583434082298,true,207-10-0429,normal risk,false,AK
no,72.02557177383883,true,742-16-4565,normal risk,false,AK
no,67.64307510737315,true,068-39-8621,normal risk,false,AK
no,60.886891964942684,true,577-73-3168,normal risk,false,AK
yes,77.6928909139717,true,825-63-2299,normal risk,true,AK
yes,59.774216138288324,true,624-30-5708,normal risk,true,AK
no,81.96504972055514,true,038-69-3937,normal risk,false,AK
no,78.22055806838583,true,066-45-4578,normal risk,false,AK
no,57.51827450252036,true,827-20-5082,normal risk,true,AK
no,66.03552605743855,true,710-59-4214,normal risk,false,AK
no,90.04217379536003,true,124-09-2837,high risk,true,AK
no,80.67048296082548,true,773-05-7847,normal risk,false,AK
no,60.516112099073005,true,053-63-8001,normal risk,false,AK
no,83.87760765824898,true,025-62-2910,normal risk,false,AK
no,75.96495435203553,true,014-64-6495,normal risk,false,AK
no,63.5330013791632,true,617-78-2254,normal risk,false,AK
yes,78.97797110955594,true,130-16-4264,high risk,true,AK
no,53.67047992303959,true,345-59-3626,normal risk,false,AK
no,82.24845512183293,true,119-96-6288,normal risk,false,AK
