smokes,weight,gave_consent,ssn,notes,has_complication,hospital
no,79.01677891773903,True,009-21-1833,normal risk,False,AR
no,76.61522252464425,True,009-37-6237,normal risk,False,AK
no,80.79348885677288,True,009-43-5466,normal risk,False,AK
no,58.68368685791939,True,009-59-4178,normal risk,False,AK
no,85.63429560124413,True,009-68-3820,normal risk,False,AL
no,72.46439339268512,True,009-74-4199,normal risk,False,AK
no,57.638457563000784,True,009-85-9397,normal risk,False,AR
no,60.35923962562728,True,010-10-1137,normal risk,False,AK
no,56.44395605048955,True,010-23-9846,normal risk,False,AR
no,74.21192361361793,True,010-30-0604,normal risk,False,AL
no,62.00042327177597,True,010-35-9386,normal risk,False,AK
no,58.2463937132442,True,010-84-0223,normal risk,False,AR
no,59.08124649467787,True,011-07-4255,normal risk,False,AL
yes,85.90972052999616,True,011-10-7806,high risk,True,AR
yes,63.77665023953475,True,011-47-5619,high risk,True,AR
no,69.31049660680628,True,011-71-9210,normal risk,False,AR
no,63.09111353351818,True,011-75-1221,normal risk,False,AL
no,62.74054055840477,True,011-81-7059,normal risk,False,AR
no,80.76826303065842,True,011-95-1500,normal risk,False,AK
no,57.48797531565047,True,011-97-1421,normal risk,False,AL
no,72.70284800851925,True,012-15-8282,normal risk,False,AR
yes,58.13607620890405,True,012-18-5050,normal risk,True,AR
yes,79.00079741744439,True,012-24-5743,high risk,True,AL
no,75.0115217109378,True,012-42-7576,normal risk,False,AK
no,86.30204735474413,True,012-43-4168,high risk,False,AL
no,59.06620425473217,True,012-64-0940,normal risk,False,AR
no,86.34657123206578,True,012-96-6273,high risk,False,AK
no,57.13466581371003,True,013-08-0578,normal risk,False,AL
yes,72.47206766825704,True,013-18-0607,normal risk,True,AL
no,80.37458030122153,True,013-31-6892,normal risk,False,AL
no,78.22374677879512,True,013-36-2223,normal risk,False,AR
no,61.22209741970426,True,013-63-0040,normal risk,False,AR
no,79.72786300699923,True,013-73-5202,normal risk,False,AR
yes,87.97936777004344,True,013-86-2621,normal risk,True,AL
no,87.0369396617888,True,013-96-3800,high risk,True,AR
no,55.59534848797293,True,014-02-5115,normal risk,True,AK
no,59.54032708119251,True,014-07-9246,normal risk,False,AK
no,61.03238444575567,True,014-13-7660,normal risk,False,AK
yes,86.63353124240706,True,014-34-6327,high risk,True,AK
no,55.55948124290509,True,014-46-0810,normal risk,False,AR
no,75.96495435203553,True,014-64-6495,normal risk,False,AK
yes,57.46205570646819,True,014-72-0967,high risk,True,AK
no,56.883861150990704,True,014-79-7216,normal risk,False,AL
no,56.630596953933335,True,014-81-0211,normal risk,False,AR
no,76.81821934076625,True,014-82-1343,normal risk,False,AK
no,80.17949970773827,True,015-01-9274,normal risk,False,AL
yes,59.61292663985418,True,015-28-2492,high risk,True,AL
yes,79.69528760189732,True,015-63-9073,normal risk,True,AK
yes,63.73682981144354,True,015-80-3337,high risk,False,AK
no,61.056616850554,True,016-09-5629,normal risk,False,AR
no,61.36231770954177,True,016-41-0371,normal risk,False,AR
yes,57.595925584021,True,016-56-9832,normal risk,False,AR
yes,71.93514155686492,True,016-87-5654,normal risk,True,AK
yes,81.62029688922539,True,016-92-2516,high risk,True,AL
no,61.9487631973624,True,017-38-6691,normal risk,False,AR
no,59.108825754727874,True,017-44-9791,normal risk,False,AL
yes,79.99660749696599,True,017-48-7893,normal risk,True,AL
no,60.84979974979071,True,017-51-3043,normal risk,False,AK
no,57.25426907531937,True,017-54-1188,normal risk,False,AR
no,74.63777077939791,True,017-66-4971,normal risk,False,AK
no,52.942435768258825,True,017-76-9296,normal risk,False,AR
no,73.46864508953794,True,017-84-0334,normal risk,False,AL
no,64.46595934228893,True,017-85-6106,normal risk,False,AR
no,64.13232161589526,True,017-86-2287,normal risk,False,AR
no,59.42253337304545,True,017-89-9813,normal risk,False,AR
no,83.63004321658234,True,018-05-4844,normal risk,False,AL
no,67.71922184366986,True,018-15-7542,normal risk,True,AK
no,78.71822474198359,True,018-16-6650,normal risk,False,AK
no,54.41712329002435,True,018-25-2343,normal risk,False,AK
no,58.48793220846834,True,018-32-5659,normal risk,False,AK
yes,64.01071888115484,True,018-56-3019,high risk,True,AK
no,58.09996816770665,True,018-63-3288,normal risk,False,AK
no,62.645749854871696,True,018-77-6628,normal risk,True,AK
no,84.18781918821952,True,018-98-4130,normal risk,True,AR
no,79.96905690568937,True,019-28-3465,normal risk,False,AL
no,78.9793956287395,True,019-38-4888,normal risk,False,AR
yes,63.91673179288109,True,019-52-4554,high risk,True,AR
no,73.92635265980607,True,019-78-1135,normal risk,False,AR
no,58.93262355539808,True,019-86-6284,normal risk,False,AR
no,78.84912945050473,True,019-89-3585,normal risk,False,AL
no,73.31532344211568,True,020-59-0486,normal risk,False,AL
no,60.03295063123687,True,020-74-4209,normal risk,True,AK
yes,80.92436312547046,True,020-77-2232,normal risk,True,AK
no,63.426819659942815,True,021-41-7263,normal risk,False,AR
no,61.581139352864895,True,021-54-9608,normal risk,False,AL
no,78.1836463746699,True,021-63-5061,normal risk,True,AR
no,58.72031066592766,True,021-72-7539,normal risk,True,AL
no,81.17840155077972,True,021-78-3324,normal risk,False,AL
no,78.17182734754098,True,021-84-1887,normal risk,True,AK
yes,64.3858489936551,True,022-10-1938,high risk,True,AL
no,57.77456497018444,True,022-12-8350,normal risk,False,AK
no,59.92824281035108,True,022-15-1780,normal risk,False,AL
no,80.04237337754843,True,022-16-2901,normal risk,False,AK
no,75.28310157188427,True,022-19-2467,normal risk,False,AR
no,85.11602674628544,True,022-20-5569,normal risk,False,AK
yes,58.95779256060005,True,022-35-6820,high risk,True,AK
no,77.04214818694282,True,022-48-1510,normal risk,True,AK
no,60.459229024883406,True,022-56-7074,normal risk,True,AK
no,63.49800688003161,True,022-76-9530,normal risk,True,AK
no,59.766293875608326,True,022-78-5505,normal risk,False,AL
no,85.02011387966071,True,022-82-3396,high risk,False,AR
no,68.70232602192466,True,022-97-8511,normal risk,False,AL
no,76.7990687984529,True,023-54-1273,normal risk,False,AL
yes,83.81434054451074,True,023-67-0931,normal risk,True,AK
yes,79.7142771740415,True,023-78-6580,high risk,False,AR
no,61.67356969690547,True,023-79-4444,normal risk,False,AR
no,56.18505753260397,True,023-81-7317,normal risk,False,AL
no,75.1827755307166,True,024-05-7390,normal risk,False,AL
no,55.23213245909399,True,024-26-4023,normal risk,False,AL
yes,76.6110481200989,True,024-43-5055,high risk,True,AK
no,61.34814893038551,True,024-62-4352,normal risk,False,AR
no,54.71202847769074,True,024-71-6604,normal risk,True,AK
no,61.06632372187819,True,025-17-5132,normal risk,False,AR
yes,70.14342691527686,True,025-18-6007,high risk,True,AK
no,56.42657225955143,True,025-30-7266,normal risk,False,AK
no,83.87760765824898,True,025-62-2910,normal risk,False,AK
yes,58.89015441996381,True,025-62-9700,normal risk,False,AK
no,83.28315971428303,True,025-67-8004,normal risk,False,AK
no,52.31993807941264,True,025-85-1125,normal risk,False,AR
yes,58.90402954365312,True,025-90-0932,high risk,True,AK
no,64.70891916942546,True,026-28-9791,normal risk,False,AR
no,53.87033404392359,True,026-29-8111,normal risk,False,AR
yes,86.8904015058214,True,026-33-4347,normal risk,True,AR
no,60.13918495305265,True,026-37-5682,normal risk,False,AL
no,81.09746774317878,True,026-44-8127,normal risk,False,AL
no,58.93351475104696,True,026-53-1061,normal risk,False,AK
yes,59.09179572154235,True,026-75-4171,normal risk,True,AK
no,84.05669846799242,True,027-12-0434,normal risk,False,AR
no,62.26613251456214,True,027-14-9237,normal risk,False,AL
no,76.25506341191392,True,027-52-8373,normal risk,False,AK
no,63.02229658185235,True,027-64-4307,normal risk,False,AL
no,62.04617440553837,True,027-70-7203,normal risk,True,AL
no,59.46605256200227,True,027-74-5262,normal risk,False,AL
no,62.863223803676846,True,027-82-2208,normal risk,False,AL
no,84.73492267224474,True,027-91-0562,normal risk,False,AR
no,73.55937517227619,True,028-01-8170,normal risk,False,AL
yes,76.03854045786542,True,028-27-4309,normal risk,True,AR
no,61.85398392835612,True,028-60-0651,normal risk,False,AR
no,71.51765917777774,True,028-61-4259,normal risk,False,AR
no,61.70552340670112,True,028-64-6759,normal risk,False,AL
yes,81.30972642567961,True,028-69-2843,normal risk,False,AK
no,58.278044013632304,True,028-74-7399,normal risk,False,AK
yes,61.79918091471664,True,028-81-4514,high risk,False,AR
no,77.9025093662063,True,028-99-3932,normal risk,True,AR
no,80.02085358073012,True,029-07-1193,normal risk,False,AL
no,71.87626705737476,True,029-46-4953,normal risk,False,AL
no,68.52138362118734,True,029-76-8053,normal risk,False,AR
no,72.862663168361,True,029-93-2430,normal risk,False,AK
no,76.82479682587359,True,030-13-9024,normal risk,False,AR
no,83.62455601723615,True,030-23-7110,normal risk,False,AL
no,55.83306851012681,True,030-43-8811,normal risk,False,AK
yes,71.97239390274996,True,030-45-2358,normal risk,True,AR
yes,65.48059011113848,True,030-57-0285,normal risk,True,AK
yes,83.61150359140156,True,030-63-5811,high risk,True,AK
no,85.52230118366575,True,031-02-9139,normal risk,True,AR
no,79.66446226148099,True,031-11-7942,normal risk,False,AR
no,63.423109319153866,True,031-33-8546,normal risk,True,AR
no,57.3619326158872,True,031-42-9130,normal risk,True,AL
no,58.1580669261683,True,031-55-2241,normal risk,False,AL
no,82.34220661860728,True,031-64-2280,normal risk,False,AK
yes,59.22660490585764,True,031-72-0718,normal risk,True,AL
yes,76.48227293549839,True,031-86-0778,normal risk,True,AK
no,59.37011250674114,True,031-89-8248,normal risk,False,AL
no,78.80029687617277,True,031-98-9673,normal risk,False,AL
no,77.55984213717801,True,032-09-8072,normal risk,False,AR
yes,78.75783972809576,True,032-13-6343,high risk,True,AL
yes,68.08488553188596,True,032-30-5417,normal risk,True,AL
no,80.86163740807898,True,032-32-5331,normal risk,False,AL
no,56.23622541250991,True,032-58-8793,normal risk,False,AK
no,84.96464031086776,True,032-68-9424,normal risk,False,AR
no,81.9837213749421,True,033-29-7158,normal risk,False,AL
no,78.9554080676098,True,033-39-2574,normal risk,False,AK
no,56.31617533545328,True,033-61-5997,normal risk,True,AL
yes,82.88275582773116,True,033-61-7163,high risk,False,AR
no,59.05949063783246,True,033-65-5477,normal risk,True,AL
no,77.74227198615701,True,033-66-2129,normal risk,True,AR
no,58.258166169903845,True,033-97-6874,normal risk,False,AL
no,59.79283226433038,True,033-98-8308,normal risk,False,AK
no,60.093506936887145,True,034-32-2205,normal risk,False,AK
no,60.71005452225879,True,034-60-3275,normal risk,False,AL
yes,57.97387096279774,True,034-72-7798,high risk,True,AR
no,58.90098505704388,True,034-83-4657,normal risk,True,AL
no,58.73601177378514,True,034-91-5776,normal risk,False,AL
no,61.68644659938158,True,034-91-6993,normal risk,False,AK
no,56.78820244325913,True,034-94-1672,normal risk,False,AL
no,78.52264140144473,True,034-99-0522,normal risk,False,AL
no,77.66120190889072,True,035-09-3676,normal risk,False,AR
no,76.69716843109323,True,035-25-3328,normal risk,False,AK
no,81.31277161933687,True,035-28-6133,normal risk,False,AK
no,56.79562974116243,True,035-60-1073,normal risk,False,AK
no,85.99058685699235,True,035-92-0654,normal risk,True,AL
no,83.36464732384339,True,035-92-9591,normal risk,False,AK
no,83.6308439775676,True,036-09-2370,normal risk,False,AL
no,73.20085115596153,True,036-21-4572,normal risk,False,AL
yes,64.38831273923086,True,036-23-8740,normal risk,True,AR
yes,75.0442014928079,True,036-28-3664,high risk,True,AL
yes,61.62495095041626,True,036-31-6731,high risk,True,AK
no,58.679194299190485,True,036-45-2657,normal risk,True,AK
no,60.3290264576082,True,036-48-0019,normal risk,False,AL
no,60.38535027347076,True,036-48-7995,normal risk,True,AL
no,83.83820971083739,True,036-55-7129,normal risk,True,AR
no,66.25705067519196,True,036-70-2636,normal risk,False,AL
no,74.67708775705573,True,036-92-4141,normal risk,False,AL
yes,87.07514531981256,True,037-22-9630,high risk,True,AK
no,76.25880982901542,True,037-51-4429,normal risk,False,AK
no,61.3929910932567,True,037-70-9361,normal risk,False,AL
no,67.33320885469793,True,037-84-6148,normal risk,False,AK
yes,53.739193556291866,True,037-96-3583,normal risk,True,AL
no,55.66852454503516,True,038-01-0981,normal risk,True,AR
no,77.66697808223513,True,038-12-8860,normal risk,False,AK
yes,59.71413510728239,True,038-19-6679,normal risk,True,AL
no,84.98953099002412,True,038-29-4384,normal risk,False,AK
no,87.10193460599368,True,038-29-6815,high risk,False,AL
no,82.72846047598502,True,038-34-0838,normal risk,False,AL
no,78.65242155961998,True,038-39-1787,normal risk,False,AR
yes,57.03456385540095,True,038-46-6775,normal risk,True,AK
no,58.96942539757398,True,038-53-2376,normal risk,False,AK
no,81.96504972055514,True,038-69-3937,normal risk,False,AK
yes,81.88983960385531,True,038-74-8126,high risk,True,AL
no,87.47076358489058,True,038-81-8937,high risk,True,AL
no,81.19762653572958,True,039-01-6861,normal risk,False,AL
no,62.57347335176862,True,039-07-2975,normal risk,False,AK
no,58.47581693707208,True,039-09-9981,normal risk,False,AL
no,87.17125855007862,True,039-33-3107,normal risk,False,AR
no,72.1632929340908,True,039-37-8362,normal risk,True,AK
yes,74.26381547323707,True,039-44-0945,normal risk,True,AK
no,76.91215948226987,True,039-46-7256,normal risk,False,AK
no,57.1839508209216,True,040-23-8816,normal risk,False,AL
no,65.83369874415217,True,040-24-6035,normal risk,True,AL
no,78.51209000069996,True,040-25-3581,normal risk,True,AK
no,83.7581095418964,True,040-48-9682,normal risk,False,AR
yes,54.20950965163636,True,040-51-3637,normal risk,True,AL
no,58.12170935298148,True,040-66-0247,normal risk,False,AK
no,62.872552225703735,True,040-83-5941,normal risk,False,AR
no,55.07458578345822,True,041-02-7465,normal risk,True,AR
no,55.70378023669618,True,041-13-3866,normal risk,False,AK
no,58.22104108389527,True,041-32-0436,normal risk,False,AK
no,84.53256731190172,True,041-35-9264,normal risk,True,AK
no,84.92765875045987,True,041-39-8071,normal risk,False,AK
yes,79.84534961483472,True,041-44-1714,high risk,True,AK
yes,56.28260765791817,True,041-51-1810,normal risk,False,AL
no,76.1429452627619,True,041-78-9288,normal risk,False,AK
no,72.71569797124603,True,041-83-5185,normal risk,False,AK
no,82.16894348997873,True,042-35-1065,normal risk,False,AR
no,69.32019366179452,True,042-37-4449,normal risk,False,AR
no,60.24015561682972,True,042-45-8141,normal risk,False,AR
no,56.06597877880578,True,042-47-8801,normal risk,False,AK
yes,72.14909449038281,True,042-51-9346,normal risk,True,AK
no,55.95556512083491,True,042-95-6038,normal risk,False,AL
no,61.46870836325315,True,043-10-5970,normal risk,True,AK
no,58.04533119329663,True,043-12-7884,normal risk,False,AR
no,60.79271083122189,True,043-17-6941,normal risk,False,AL
no,76.13762486955002,True,043-18-8087,normal risk,False,AK
no,79.57963271565244,True,043-24-9955,normal risk,False,AL
yes,60.08776462289606,True,043-33-1496,high risk,False,AK
no,81.14004594966829,True,044-06-3960,normal risk,False,AR
no,59.925787951317055,True,044-37-0291,normal risk,False,AK
no,59.79185263987162,True,044-43-8416,normal risk,False,AL
no,82.30784073916993,True,044-47-7836,normal risk,False,AL
no,62.26743396440018,True,044-73-9182,normal risk,False,AK
no,62.77998437908953,True,044-80-5978,normal risk,False,AL
no,81.3392224284833,True,044-90-1327,normal risk,False,AR
no,57.15443535303543,True,045-14-0137,normal risk,True,AL
no,57.93259019594679,True,045-30-1753,normal risk,False,AK
no,78.59663516677321,True,045-38-5894,normal risk,False,AL
yes,74.8814454139108,True,045-51-6009,high risk,True,AL
no,74.6742318262392,True,045-65-0459,normal risk,False,AR
no,58.66298252205019,True,045-66-9018,normal risk,False,AK
no,76.7765391888615,True,045-86-3587,normal risk,False,AK
no,60.26270224753596,True,046-04-4005,normal risk,False,AR
no,62.629715333728655,True,046-19-6102,normal risk,False,AR
no,61.58164344967924,True,046-21-6661,normal risk,False,AK
no,61.17584239031083,True,046-22-6797,normal risk,False,AK
no,77.99476456368676,True,046-49-9030,normal risk,False,AL
yes,86.24766960960937,True,046-56-1740,high risk,True,AK
no,77.60427130044616,True,046-80-2519,normal risk,False,AL
no,60.216565732097145,True,047-01-9732,normal risk,False,AL
no,73.52589890092267,True,047-04-3279,normal risk,False,AL
no,79.24763062169518,True,047-13-7026,normal risk,False,AL
no,75.83917819414177,True,047-16-3834,normal risk,True,AR
no,59.02322266723223,True,047-55-2706,normal risk,False,AR
no,57.88960268643111,True,047-61-4004,normal risk,False,AK
yes,59.43064176193712,True,047-64-3576,high risk,True,AK
yes,59.60205265924655,True,047-90-5564,normal risk,True,AR
no,56.613205169041095,True,047-97-6534,normal risk,False,AK
no,81.65592652747539,True,047-98-9197,normal risk,True,AL
yes,83.1774227658066,True,048-05-1058,high risk,False,AL
no,72.26060971780828,True,048-40-1045,normal risk,False,AL
no,54.951541446377405,True,048-43-9992,normal risk,False,AL
yes,95.96450427235764,True,048-56-9814,high risk,True,AR
no,83.03983863748415,True,048-58-9829,normal risk,True,AK
no,58.29660562864975,True,048-70-5311,normal risk,False,AL
no,63.1251439042755,True,048-75-1154,normal risk,False,AR
yes,58.0253447416565,True,048-85-8894,high risk,True,AL
no,75.58953159909987,True,048-96-1520,normal risk,False,AL
yes,60.35959076393292,True,049-03-9732,normal risk,True,AR
no,61.39050931924925,True,049-05-7352,normal risk,False,AR
no,76.40772472207065,True,049-32-8245,normal risk,True,AR
no,89.21636167632848,True,049-51-3044,high risk,False,AR
no,84.08018250816454,True,049-66-9142,normal risk,False,AL
yes,68.35582935912218,True,049-68-5756,high risk,False,AK
no,65.89703834787323,True,049-73-6077,normal risk,True,AK
no,74.93766231230445,True,049-80-2589,normal risk,False,AR
no,79.89540710895935,True,049-96-0801,normal risk,False,AK
no,81.14846224238869,True,050-68-0426,normal risk,False,AR
no,63.58350372868986,True,051-10-2639,normal risk,False,AK
no,63.73041851523057,True,051-14-5382,normal risk,False,AK
yes,61.20845537071827,True,051-29-8431,normal risk,True,AK
no,73.33314494077143,True,051-45-4999,normal risk,True,AL
yes,65.6674337368493,True,051-55-5629,high risk,True,AL
yes,57.02211757064287,True,051-77-8529,normal risk,True,AK
no,78.47354628319869,True,051-93-5441,normal risk,False,AR
yes,58.01981660330971,True,051-95-5593,high risk,True,AR
no,72.5510748196258,True,052-14-8411,normal risk,False,AR
no,61.09947579584554,True,052-21-4465,normal risk,False,AK
no,57.292692004830506,True,052-83-2028,normal risk,False,AK
no,59.502609722261255,True,052-84-8001,normal risk,False,AK
no,76.8596406559544,True,052-88-8425,normal risk,False,AL
yes,83.89716077718451,True,053-12-6037,high risk,True,AK
yes,63.01931474065992,True,053-29-8593,normal risk,True,AR
no,60.200480317403965,True,053-43-4930,normal risk,False,AL
yes,58.64421547144856,True,053-63-7756,high risk,False,AK
no,60.516112099073005,True,053-63-8001,normal risk,False,AK
no,58.02372874818023,True,053-67-0471,normal risk,False,AL
no,61.72907196627727,True,053-95-7469,normal risk,False,AR
no,60.94706503666092,True,053-96-6716,normal risk,False,AR
no,84.5005429366133,True,054-50-6715,normal risk,False,AR
no,83.93982341568807,True,054-51-6326,normal risk,False,AK
no,61.312178813146666,True,054-53-7328,normal risk,False,AL
yes,85.36211158478577,True,054-57-9249,high risk,True,AR
no,75.21607266758484,True,054-60-0361,normal risk,False,AL
no,75.91923882994887,True,054-72-8262,normal risk,True,AR
no,59.474950233556726,True,054-75-5518,normal risk,False,AR
no,57.87379706171959,True,055-02-7141,normal risk,False,AK
no,60.56800510895684,True,055-03-7936,normal risk,False,AR
no,77.21158888997617,True,055-10-6125,normal risk,False,AR
no,83.18918319939927,True,055-50-4955,normal risk,False,AK
no,75.54089966323735,True,055-56-3815,normal risk,False,AR
no,80.92516895528202,True,055-60-1455,normal risk,False,AK
no,63.12817324499525,True,055-79-3249,normal risk,False,AR
no,62.801432891902266,True,055-84-5387,normal risk,False,AK
no,75.95391035490566,True,055-98-0765,normal risk,False,AK
no,60.63945090230612,True,055-98-8184,normal risk,False,AK
no,60.18313622078115,True,056-04-3947,normal risk,False,AK
no,73.28094137215835,True,056-35-7024,normal risk,False,AK
no,60.673969502858526,True,056-40-0011,normal risk,False,AR
no,79.83197014577341,True,056-62-1342,normal risk,False,AL
no,77.91559821789507,True,056-66-6492,normal risk,True,AK
yes,85.77051154199086,True,056-82-6170,high risk,True,AR
yes,57.70740168380576,True,056-97-7622,high risk,True,AK
yes,61.76826524699017,True,057-10-0293,normal risk,True,AL
no,57.114522122574165,True,057-14-1187,normal risk,False,AK
no,62.53504232620585,True,057-23-5821,normal risk,False,AR
yes,80.58145278423939,True,057-30-9741,high risk,False,AR
yes,61.41986687366785,True,057-54-3367,normal risk,True,AR
no,59.09309391164665,True,057-79-3010,normal risk,False,AR
no,63.58886595835549,True,057-80-2743,normal risk,False,AL
yes,77.35816054752306,True,058-08-8442,high risk,False,AR
no,58.50205248891717,True,058-29-4941,normal risk,True,AK
yes,58.54668051812405,True,058-35-7948,normal risk,True,AL
no,88.18901935733797,True,058-50-4080,normal risk,False,AK
no,90.028615444291,True,058-78-0921,high risk,True,AK
no,80.56461506885826,True,058-84-8927,normal risk,False,AL
no,84.85350207276602,True,058-87-7792,normal risk,False,AK
yes,64.570185753686,True,058-93-5565,normal risk,True,AK
no,84.4011659078234,True,058-98-6531,normal risk,True,AL
yes,55.17551321302386,True,059-07-5720,high risk,True,AR
yes,58.8441844115654,True,059-29-2189,high risk,True,AK
yes,59.23494606666293,True,059-34-8399,normal risk,True,AK
no,58.89345159627364,True,059-48-0895,normal risk,False,AK
no,75.93081289573307,True,059-50-0449,normal risk,False,AL
no,86.40788698885724,True,059-56-0568,high risk,False,AR
no,85.69427781924645,True,059-62-2797,normal risk,False,AK
no,60.90294483134048,True,059-77-2224,normal risk,False,AL
no,79.90802627242235,True,059-77-6232,normal risk,False,AL
yes,83.7377345945415,True,059-79-2101,normal risk,False,AK
no,83.9674275086451,True,059-79-5766,normal risk,True,AK
yes,64.84993278024126,True,060-10-5663,high risk,True,AL
no,57.23039960552255,True,060-13-0793,normal risk,False,AL
no,65.8140504711554,True,060-17-8525,normal risk,False,AK
yes,63.54158952398444,True,060-22-3218,normal risk,True,AL
no,66.69774792814478,True,060-28-9434,normal risk,True,AK
yes,82.52980730768513,True,060-31-2927,normal risk,True,AR
no,62.53886065980391,True,060-33-2390,normal risk,True,AR
no,65.56872543049356,True,060-72-6094,normal risk,False,AL
yes,78.96550057019716,True,061-14-5860,high risk,True,AR
no,62.23790478596423,True,061-19-9472,normal risk,False,AR
no,58.80782792147679,True,061-51-4142,normal risk,False,AL
yes,81.5630790093067,True,061-55-4604,normal risk,True,AK
no,75.60991738336972,True,061-68-4295,normal risk,False,AL
no,59.90013226601859,True,061-72-4972,normal risk,False,AR
no,75.75883518085175,True,061-82-7744,normal risk,False,AK
no,80.41775505215986,True,061-94-5029,normal risk,False,AL
no,56.63777569626078,True,062-09-1958,normal risk,False,AR
yes,82.60706725470922,True,062-11-2754,normal risk,True,AK
no,85.88475155684246,True,062-21-0254,normal risk,True,AK
no,77.56653495574132,True,062-21-9041,normal risk,False,AR
no,62.08875804808514,True,062-26-0807,normal risk,True,AL
yes,74.78665169824251,True,062-48-5292,high risk,True,AL
no,62.72863060833051,True,062-56-6813,normal risk,False,AR
no,86.89539184665739,True,062-80-0794,high risk,False,AL
yes,55.49697613905259,True,062-83-7960,normal risk,False,AR
no,64.90235491578376,True,062-93-4406,normal risk,False,AL
no,71.88542675946645,True,062-99-5336,normal risk,False,AK
no,78.10181853723111,True,063-02-2195,normal risk,True,AR
no,59.535350116359,True,063-05-1004,normal risk,False,AK
no,84.85270682687853,True,063-25-1411,normal risk,False,AK
no,81.7711587566355,True,063-25-7549,normal risk,False,AK
yes,56.40076902611911,True,063-25-9703,high risk,True,AL
yes,85.34792388030442,True,063-32-0990,high risk,True,AR
yes,64.3138673935832,True,063-33-1291,high risk,True,AK
yes,58.536369631579895,True,063-33-5579,high risk,True,AR
no,67.43072942372433,True,063-49-1784,normal risk,False,AK
no,74.64662462161999,True,063-77-7542,normal risk,False,AR
yes,83.70293104491022,True,063-81-1141,normal risk,False,AL
no,81.84567462686776,True,064-02-9649,normal risk,False,AL
no,85.14814396693606,True,064-06-2460,normal risk,False,AK
no,84.6617646613424,True,064-15-5042,normal risk,False,AR
yes,79.25636994269412,True,064-40-2897,high risk,True,AK
no,78.74468059458701,True,064-65-7320,normal risk,False,AL
no,74.15520025672416,True,064-68-5971,normal risk,True,AL
yes,84.25956079384805,True,064-74-0734,high risk,True,AL
no,70.95508521254794,True,064-95-9307,normal risk,False,AK
